id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
958,Apartment,Entire home/apt,1,1,1,170
3850,House,Private room,1,1,1,99
5858,Apartment,Entire home/apt,1,2,30,235
7918,Apartment,Private room,4,1,32,65
8142,Apartment,Private room,4,1,32,65
8339,House,Entire home/apt,1.5,2,6,875
8739,Condominium,Private room,1,1,1,139
9225,House,Private room,1,1,1,135
10251,House,Entire home/apt,1,2,30,225
10578,Apartment,Entire home/apt,1,0,30,120
10820,Apartment,Entire home/apt,1,3,30,177
10824,Apartment,Entire home/apt,2,3,30,194
10832,Apartment,Entire home/apt,1.5,1,30,139
12041,Apartment,Private room,3,1,32,85
12042,Apartment,Private room,3,1,32,85
12522,Apartment,Private room,1,1,3,79
12584,Townhouse,Entire home/apt,1,2,30,122
14125,Apartment,Entire home/apt,1,1,3,215
17132,Condominium,Entire home/apt,2,2,90,450
18231,Apartment,Entire home/apt,1,0,30,107
18904,Townhouse,Private room,1,1,2,110
21334,Loft,Entire home/apt,1,1,30,125
21914,Apartment,Private room,4,1,32,65
23630,House,Entire home/apt,1,1,3,155
24450,Apartment,Entire home/apt,1,1,3,180
24463,Apartment,Private room,1,1,2,155
24685,Apartment,Private room,1,1,1,79
24723,Guest suite,Entire home/apt,1,1,5,195
25094,House,Private room,1,1,5,150
25463,Townhouse,Private room,1,1,3,110
25662,House,Private room,1,0,4,125
26408,Apartment,Entire home/apt,2,4,2,450
27025,Apartment,Entire home/apt,1,1,30,125
27028,Condominium,Private room,1,1,1,199
29373,House,Entire home/apt,2,2,4,220
29557,Apartment,Entire home/apt,1,1,2,155
32414,Apartment,Entire home/apt,1,1,30,150
33578,House,Entire home/apt,1,1,1,240
39174,Guest suite,Entire home/apt,1,1,30,107
39418,Apartment,Entire home/apt,1,0,60,94
40092,Apartment,Entire home/apt,1,1,30,108
40138,Apartment,Private room,1,1,30,67
41055,House,Entire home/apt,1,1,4,159
41172,House,Private room,2,1,3,127
41399,Apartment,Entire home/apt,1,2,30,290
41423,House,Entire home/apt,1,0,30,136
42403,Apartment,Entire home/apt,1,0,30,85
42408,House,Entire home/apt,1,1,30,85
42454,Apartment,Entire home/apt,1.5,1,10,104
42577,Guest suite,Entire home/apt,1,2,30,150
43778,Guest suite,Entire home/apt,1,2,30,110
44032,Apartment,Entire home/apt,1,1,30,95
44680,Apartment,Entire home/apt,1,1,30,175
45299,Guest suite,Entire home/apt,1,0,3,116
45956,House,Private room,3,1,1,125
47486,House,Entire home/apt,1,2,30,78
47682,Apartment,Entire home/apt,1,1,30,120
51374,Apartment,Entire home/apt,1,2,365,"9,999"
51557,Apartment,Entire home/apt,1,1,30,119
51773,Apartment,Private room,0,1,30,55
53280,House,Private room,1,1,3,90
53934,Apartment,Entire home/apt,1,2,80,163
54518,Condominium,Entire home/apt,1.5,1,30,185
54634,Apartment,Entire home/apt,1,1,30,115
55632,Apartment,Entire home/apt,1,1,30,112
55636,Apartment,Entire home/apt,1,1,30,116
56621,Apartment,Private room,0,1,30,55
56715,Apartment,Entire home/apt,1,2,3,187
57479,Apartment,Entire home/apt,2,2,90,200
57561,Apartment,Entire home/apt,1,1,30,175
57676,Apartment,Private room,1,1,30,99
59344,Guest suite,Entire home/apt,1,1,2,135
59381,Condominium,Private room,2,1,2,109
59702,Cottage,Private room,1,1,30,150
59831,House,Private room,1,1,60,100
60365,House,Entire home/apt,2,3,4,475
62519,Apartment,Private room,1,1,2,85
62651,House,Entire home/apt,2.5,3,3,950
63247,Guest suite,Entire home/apt,1,1,2,166
64165,Apartment,Private room,2,1,30,90
66119,Apartment,Entire home/apt,1,0,30,95
66188,Apartment,Entire home/apt,2,3,30,216
66664,Apartment,Entire home/apt,1,1,30,90
68239,Apartment,Entire home/apt,1,1,30,326
69410,House,Entire home/apt,1,2,30,80
69549,House,Private room,1,1,30,46
69553,House,Private room,1,1,30,37
69681,Apartment,Entire home/apt,2,3,30,185
70139,Apartment,Entire home/apt,1,1,30,108
70284,House,Shared room,2.5,1,30,30
70753,Hostel,Shared room,3,1,1,45
71645,Guest suite,Private room,1,1,3,109
71779,Apartment,Entire home/apt,1,1,30,80
72365,Apartment,Entire home/apt,1,0,30,90
72444,Hostel,Shared room,1,1,1,45
72921,Apartment,Entire home/apt,1,1,30,105
73011,Apartment,Entire home/apt,1,1,30,270
74451,Apartment,Entire home/apt,1,0,30,100
74758,House,Private room,1,1,30,37
75422,House,Private room,1,1,30,40
75423,House,Private room,1,1,30,45
77175,House,Entire home/apt,1,1,3,135
77932,House,Private room,1,1,30,57
78651,Apartment,Private room,2,1,30,75
80394,Apartment,Entire home/apt,1,1,30,140
81158,Condominium,Entire home/apt,1,1,30,83
81256,House,Private room,1,1,30,45
83257,House,Private room,1,1,1,90
83553,Apartment,Entire home/apt,1,0,30,85
84777,Guest suite,Entire home/apt,1,1,5,85
87640,Guest suite,Private room,1,1,2,115
91957,Apartment,Entire home/apt,1.5,2,30,201
96383,Apartment,Private room,0,1,30,59
99094,Apartment,Entire home/apt,1,2,4,185
100710,Apartment,Entire home/apt,2,3,4,450
102951,House,Shared room,2.5,1,30,30
105497,House,Private room,1,1,45,85
106025,Apartment,Entire home/apt,2,2,30,130
109883,Guest suite,Entire home/apt,1,2,2,125
